BDR,(0)  -EST-,ENGINEER'S ESTIMATE
BDR,(1) 505A,D.G. HUSKIN CONSTRUCTION
BDR,(2) 163D,"WESTERN-MOBILE NORTHERN,"
BDR,(3) 159C,KIEWIT WESTERN CO
BDR,(4) 118A,GRASSER CONSTRUCTION INC.
BDR,(5) 017A,ASPHALT PAVING CO.
ITM,202-00090,REM DELINEATOR,EACH,125.000
TAB,(3) 159C,403-13320,32.00000,827200.00
TAB,(4) 118A,403-13320,32.00000,827200.00
TAB,(5) 017A,403-13320,31.56000,815826.00
TAB,(0)  -EST-,406-09500,1.10000,138153.40
TAB,(1) 505A,406-09500,0.85000,106754.90
TAB,(2) 163D,406-09500,0.70000,87915.80
TAB,(3) 159C,406-09500,0.80000,100475.20
TAB,(4) 118A,406-09500,1.25000,156992.50
TAB,(5) 017A,406-09500,0.83000,104243.02
TAB,(0)  -EST-,411-10255,1.25000,19153.75
TAB,(1) 505A,411-10255,1.10000,16855.30
TAB,(2) 163D,411-10255,0.80000,12258.40
TAB,(3) 159C,411-10255,0.50000,7661.50
TAB,(4) 118A,411-10255,1.77000,27121.71
TAB,(5) 017A,411-10255,1.35000,20686.05
TAB,(0)  -EST-,411-90040,1.00000,99391.00
TAB,(1) 505A,411-90040,1.05000,104360.55
TAB,(2) 163D,411-90040,0.80000,79512.80
TAB,(3) 159C,411-90040,1.00000,99391.00
TAB,(4) 118A,411-90040,1.01000,100384.91
TAB,(5) 017A,411-90040,1.09000,108336.19
TAB,(0)  -EST-,601-03530,220.00000,52800.00
TAB,(1) 505A,601-03530,240.00000,57600.00
TAB,(2) 163D,601-03530,235.00000,56400.00
TAB,(3) 159C,601-03530,250.00000,60000.00
TAB,(4) 118A,601-03530,245.00000,58800.00
TAB,(5) 017A,601-03530,232.20000,55728.00
TAB,(0)  -EST-,602-00000,0.50000,11257.00
TAB,(1) 505A,602-00000,0.60000,13508.40
TAB,(2) 163D,602-00000,0.50000,11257.00
TAB,(3) 159C,602-00000,0.50000,11257.00
TAB,(4) 118A,602-00000,0.53000,11932.42
TAB,(5) 017A,602-00000,0.49000,11031.86
TAB,(0)  -EST-,606-00301,15.00000,9375.00
TAB,(1) 505A,606-00301,12.50000,7812.50
TAB,(2) 163D,606-00301,13.00000,8125.00
TAB,(3) 159C,606-00301,13.00000,8125.00
TAB,(4) 118A,606-00301,13.25000,8281.25
TAB,(5) 017A,606-00301,13.50000,8437.50
TAB,(0)  -EST-,606-01370,800.00000,3200.00
TAB,(1) 505A,606-01370,780.00000,3120.00
TAB,(2) 163D,606-01370,800.00000,3200.00
TAB,(3) 159C,606-01370,800.00000,3200.00
TAB,(4) 118A,606-01370,840.00000,3360.00
TAB,(5) 017A,606-01370,842.40000,3369.60
TAB,(0)  -EST-,606-02001,2000.00000,8000.00
TAB,(1) 505A,606-02001,1750.00000,7000.00
TAB,(2) 163D,606-02001,1800.00000,7200.00
TAB,(3) 159C,606-02001,1800.00000,7200.00
TAB,(4) 118A,606-02001,1850.00000,7400.00
TAB,(5) 017A,606-02001,1890.00000,7560.00
TAB,(0)  -EST-,606-11010,55.00000,17270.00
TAB,(1) 505A,606-11010,46.80000,14695.20
TAB,(2) 163D,606-11010,50.00000,15700.00
TAB,(3) 159C,606-11010,50.00000,15700.00
TAB,(4) 118A,606-11010,49.00000,15386.00
TAB,(5) 017A,606-11010,50.54000,15869.56
TAB,(0)  -EST-,612-00001,12.00000,3384.00
TAB,(1) 505A,612-00001,11.00000,3102.00
TAB,(2) 163D,612-00001,13.00000,3666.00
TAB,(3) 159C,612-00001,12.00000,3384.00
TAB,(4) 118A,612-00001,12.50000,3525.00
TAB,(5) 017A,612-00001,11.88000,3350.16
TAB,(0)  -EST-,612-00003,15.00000,420.00
TAB,(1) 505A,612-00003,14.50000,406.00
TAB,(2) 163D,612-00003,15.00000,420.00
TAB,(3) 159C,612-00003,15.00000,420.00
TAB,(4) 118A,612-00003,18.00000,504.00
TAB,(5) 017A,612-00003,15.66000,438.48
TAB,(0)  -EST-,620-00001,2000.00000,2000.00
TAB,(1) 505A,620-00001,10000.00000,10000.00
TAB,(2) 163D,620-00001,2500.00000,2500.00
TAB,(3) 159C,620-00001,6000.00000,6000.00
TAB,(4) 118A,620-00001,1000.00000,1000.00
TAB,(5) 017A,620-00001,11880.00000,11880.00
TAB,(0)  -EST-,620-00012,3000.00000,3000.00
TAB,(1) 505A,620-00012,1000.00000,1000.00
TAB,(2) 163D,620-00012,4500.00000,4500.00
TAB,(3) 159C,620-00012,3000.00000,3000.00
TAB,(4) 118A,620-00012,15000.00000,15000.00
TAB,(5) 017A,620-00012,12960.00000,12960.00
TAB,(0)  -EST-,620-00015,1000.00000,1000.00
TAB,(1) 505A,620-00015,3000.00000,3000.00
TAB,(2) 163D,620-00015,4000.00000,4000.00
TAB,(3) 159C,620-00015,3500.00000,3500.00
TAB,(4) 118A,620-00015,15000.00000,15000.00
TAB,(5) 017A,620-00015,3780.00000,3780.00
TAB,(0)  -EST-,620-00020,500.00000,500.00
TAB,(1) 505A,620-00020,1000.00000,1000.00
TAB,(2) 163D,620-00020,1000.00000,1000.00
TAB,(3) 159C,620-00020,500.00000,500.00
TAB,(4) 118A,620-00020,1000.00000,1000.00
TAB,(5) 017A,620-00020,702.00000,702.00
TAB,(0)  -EST-,625-00000,25000.00000,25000.00
TAB,(1) 505A,625-00000,5100.00000,5100.00
TAB,(2) 163D,625-00000,5000.00000,5000.00
TAB,(3) 159C,625-00000,6500.00000,6500.00
TAB,(4) 118A,625-00000,7000.00000,7000.00
TAB,(5) 017A,625-00000,8100.00000,8100.00
TAB,(0)  -EST-,626-00000,90000.00000,90000.00
TAB,(1) 505A,626-00000,65557.00000,65557.00
TAB,(2) 163D,626-00000,158400.00000,158400.00
TAB,(3) 159C,626-00000,132000.00000,132000.00
TAB,(4) 118A,626-00000,71800.00000,71800.00
TAB,(5) 017A,626-00000,193791.31000,193791.31
TAB,(0)  -EST-,627-00001,20.00000,14340.00
TAB,(1) 505A,627-00001,22.50000,16132.50
TAB,(2) 163D,627-00001,14.00000,10038.00
TAB,(3) 159C,627-00001,22.00000,15774.00
TAB,(4) 118A,627-00001,22.50000,16132.50
TAB,(5) 017A,627-00001,24.30000,17423.10
TAB,(0)  -EST-,629-01001,90.00000,810.00
TAB,(1) 505A,629-01001,100.00000,900.00
TAB,(2) 163D,629-01001,80.00000,720.00
TAB,(3) 159C,629-01001,75.00000,675.00
TAB,(4) 118A,629-01001,150.00000,1350.00
TAB,(5) 017A,629-01001,108.00000,972.00
TAB,(0)  -EST-,629-01050,300.00000,900.00
TAB,(1) 505A,629-01050,150.00000,450.00
TAB,(2) 163D,629-01050,300.00000,900.00
TAB,(3) 159C,629-01050,100.00000,300.00
TAB,(4) 118A,629-01050,250.00000,750.00
TAB,(5) 017A,629-01050,162.00000,486.00
TAB,(0)  -EST-,630-00000,20.00000,25000.00
TAB,(1) 505A,630-00000,18.50000,23125.00
TAB,(2) 163D,630-00000,18.50000,23125.00
TAB,(3) 159C,630-00000,19.00000,23750.00
TAB,(4) 118A,630-00000,20.00000,25000.00
TAB,(5) 017A,630-00000,19.98000,24975.00
TAB,(0)  -EST-,630-00002,230.00000,12650.00
TAB,(1) 505A,630-00002,200.00000,11000.00
TAB,(2) 163D,630-00002,210.00000,11550.00
TAB,(3) 159C,630-00002,200.00000,11000.00
TAB,(4) 118A,630-00002,215.00000,11825.00
TAB,(5) 017A,630-00002,216.00000,11880.00
TAB,(0)  -EST-,630-00007,120.00000,2400.00
TAB,(1) 505A,630-00007,100.00000,2000.00
TAB,(2) 163D,630-00007,105.00000,2100.00
TAB,(3) 159C,630-00007,120.00000,2400.00
TAB,(4) 118A,630-00007,140.00000,2800.00
TAB,(5) 017A,630-00007,108.00000,2160.00
TAB,(0)  -EST-,630-80342,100.00000,3600.00
TAB,(1) 505A,630-80342,90.00000,3240.00
TAB,(2) 163D,630-80342,95.00000,3420.00
TAB,(3) 159C,630-80342,100.00000,3600.00
TAB,(4) 118A,630-80342,100.00000,3600.00
TAB,(5) 017A,630-80342,97.20000,3499.20
TAB,(0)  -EST-,630-80360,50.00000,1000.00
TAB,(1) 505A,630-80360,60.00000,1200.00
TAB,(2) 163D,630-80360,60.00000,1200.00
TAB,(3) 159C,630-80360,65.00000,1300.00
TAB,(4) 118A,630-80360,65.00000,1300.00
TAB,(5) 017A,630-80360,64.80000,1296.00
TAB,(0)  -EST-,630-80363,60.00000,360.00
TAB,(1) 505A,630-80363,65.00000,390.00
TAB,(2) 163D,630-80363,65.00000,390.00
TAB,(3) 159C,630-80363,80.00000,480.00
TAB,(4) 118A,630-80363,70.00000,420.00
TAB,(5) 017A,630-80363,70.20000,421.20
TAB,(0)  -EST-,630-80375,6.00000,1800.00
TAB,(1) 505A,630-80375,19.00000,5700.00
TAB,(2) 163D,630-80375,5.00000,1500.00
TAB,(3) 159C,630-80375,10.00000,3000.00
TAB,(4) 118A,630-80375,15.00000,4500.00
TAB,(5) 017A,630-80375,11.53000,3459.00
TAB,(0)  -EST-,630-80380,8.00000,800.00
TAB,(1) 505A,630-80380,11.00000,1100.00
TAB,(2) 163D,630-80380,12.00000,1200.00
TAB,(3) 159C,630-80380,12.00000,1200.00
TAB,(4) 118A,630-80380,13.00000,1300.00
TAB,(5) 017A,630-80380,11.88000,1188.00
